title,summary,link,pub_date,topic
Elon Musk: The THREE questions investors should ask as Tesla CEO prompts SHIB surge,"Elon Musk, the billionaire CEO of electric car manufacturers Tesla, has caused ripples through the cryptocurrency market again. On Monday, he posted a picture of his new Shiba Inu puppy, Floki Funkpuppy, boosting the token of the same name and inspiring a new addition that has already started flying. His inspiration has helped many novice investors try their hand at cryptocurrencies, but also led experts to ask questions.Mr Musk's ongoing influence underlines the inherent volatility behind altco",https://www.express.co.uk/finance/city/1503278/Elon-musk-dogecoin-shiba-inu-coin-price-Tesla-CEO-evg,08-10-2021 23:09,finance
"Elon Musk Posts Puppy Floki In A Tesla, SHIB Coin Surges 30%","A Twitter post of Elon Musk's Shiba Inu dog has caused the cryptocurrency of the same name to soar 30% on Monday.On Sunday night, Musk posted the picture of his pup Floki in the front trunk of a Tesla, causing not only the Shiba Inu coin to jump but also Dogecoin to spike a short-lived 7.5 centsFloki Frunkpuppy pic.twitter.com/xAr8T0Jfdf— Elon Musk (@elonmusk) October 4, 2021 Musk brought home Floki on Sept. 12 in a Twitter post after declaring in June that he was getting a Shiba Inu dog, the ma",https://www.ibtimes.com/elon-musk-posts-puppy-floki-tesla-shib-coin-surges-30-3309019,04-10-2021 17:37,news
"Cryptocurrency named after Elon Musk's dog surges 2,400 percent","Fans of Elon Musk made a cryptocurrency named after his dog — and it's up 2,400 percent. 



Flokinomics, a dogecoin knockoff that started trading on Sunday, was going for $0.000002254 early Wednesday, according to CoinMarketCap data. While that might not sound like a lot, it's a 2,400 percent increase in value over the previous 24 hours.



'WE $FLOKIN DID IT,' declared a Twitter account for the cryptocurrency. 



Flokinomics is named after Elon Musk's dog, Floki. 



Floki is a Shiba Inu — th",https://nypost.com/2021/10/06/cryptocurrency-named-after-elon-musks-dog-surges-2400-percent/,06-10-2021 15:28,news
Elon Musk says Tesla moving headquarters to Texas,"Tesla chief Elon Musk says the company is moving its headquarters from Silicon Valley to TexasDon't miss out on the headlines from Breaking News. Followed categories will be added to My News.Tesla chief Elon Musk told investors on Thursday that the leading electric vehicle maker is moving its headquarters from Silicon Valley to Texas, where it is building a plant.""I'm excited to announce that we're moving our headquarters to Austin, Texas,"" Musk said at an annual shareholders meeting.Originally ",https://www.news.com.au/breaking-news/elon-musk-says-tesla-moving-headquarters-to-texas/news-story/10f78c8cecb6f0bfa35a34a9506c94d8,08-10-2021 02:23,news
Grimes Trolls Paparazzi with Communist Manifesto as She Confirms She's Still Living with Elon Musk,"Grimes, Elon Musks Ex was spotted on the street for the first time reading 'The communist Manefesto' as she sat on the street by herself.

Jvshvisions/BACKGRID

Grimes is taking full advantage of the publicity she's getting from her split with Elon Musk.

The Canadian musician, 33, confirmed that she and the SpaceX mogul, 50, are still living together after she trolled the paparazzi during a casual walk in a perfectly on-brand, post-apocalyptic chic ensemble while reading Karl Marx's Communist M",https://www.yahoo.com/entertainment/grimes-trolls-paparazzi-communist-manifesto-222911122.html,03-10-2021 22:29,entertainment
Musk Causes SHIB Coin To Soar With Dog Picture,"A Twitter post of Elon Musk's Shiba Inu dog has caused the cryptocurrency of the same name to soar 30% on Monday.
On Sunday night, Musk posted the picture of his pup Floki in the front trunk of a Tesla, causing not only the Shiba Inu coin to jump but also Dogecoin to spike a short-lived 7.5 cents Floki Frunkpuppy pic.twitter.com/xAr8T0Jfdf
— Elon Musk (@elonmusk) October 4, 2021

Musk brought home Floki on Sept. 12 in a Twitter post after declaring in June that he was getting a Shiba Inu dog, th",https://www.ibtimes.com/elon-musk-posts-puppy-floki-tesla-shib-coin-surges-30-3309019?ft=b90u9,04-10-2021 17:37,news
"On Steve Jobs' 10th death anniversary, Elon Musk wishes he could have spoken to him","@SawyerMerritt I wish I had had the opportunity to talk to him — Elon Musk (@elonmusk) 1633248514000

Ten years ago on this day, Apple co-founder Steve Jobs passed away after a prolonged battle with pancreatic cancer. Jobs is credited with turning around Apple and making it into one of the biggest companies in the world. In recent times, some people have often drawn parallels between Tesla CEO Elon Musk with Jobs. And Musk in a tweet has said that he wishes he could have spoken to Jobs.Replying ",https://timesofindia.indiatimes.com/gadgets-news/on-steve-jobs-10th-death-anniversary-elon-musk-wishes-he-could-have-spoken-to-him/articleshow/86749110.cms,04-10-2021 12:00,tech
"Elon Musk, Grimes: A timeline of their romance","Grimes and Tesla CEO Elon Musk's relationship has raised eyebrows since they surprised the world in May 2018.  Musk, 50, confirmed his breakup with the ""Alter Ego"" judge, 33, in a statement last month.""We are semi-separated but still love each other, see each other frequently, and are on great terms,"" Musk told Page Six. The former couple met in April 2018 via Twitter after they traded quips about Rococo Basilisk and artificial intelligence. ELON MUSK'S EX GRIMES SAYS SHE'S NOT A COMMUNIST AFTER",https://www.foxbusiness.com/lifestyle/elon-musk-grimes-timeline-their-romance,05-10-2021 22:12,news
"Tesla moving to Texas because California lawmaker tweeted ""F*** Elon Musk""","Tesla CEO Elon Musk has suggested an insult from a California lawmaker was a key factor in his decision to shift his company's headquarters out of the Golden State to Texas.Musk confirmed on Thursday that Tesla would move from Palo Alto to Austin where it had been building a new factory for just over a year.During an annual shareholder meeting, Musk said Tesla would continue to operate its electric vehicle factory in Fremont, California, where he wants to increase production by 50 percent and in",https://www.newsweek.com/tesla-moving-texas-because-california-lawmaker-tweeted-f-elon-musk-1637281,09-10-2021 10:34,news
Grimes said she 'trolled' paparazzi by posing with Karl Marx's 'Communist Manifesto' following her breakup with Elon Musk,"Grimes said she 'trolled' paparazzi by posing with Karl Marx's 'Communist Manifesto' following her breakup with Elon Musk

Singer Grimes was spotted flipping through a copy of Karl Marx's The Communist Manifesto in full costume following her split from billionaire Elon Musk. Screengrab/Twitter

Grimes was spotted posing with the ""Communist Manifesto"" on a street corner.

The singer posted on social media that she posed with the book on purpose to ""troll"" the paparazzi.

Billionaire Elon Musk rev",https://uk.news.yahoo.com/grimes-said-she-trolled-paparazzi-041141028.html,04-10-2021 04:11,business
Grimes explains paparazzi photos after Elon Musk split,"These truly weird photos of singer Grimes fresh from her split with Elon Musk have the internet buzzing – now she's revealed what's going on.

Singer Grimes has explained herself after bizarre paparazzi photos of her circulated widely online over the weekend.

The strange photos show Grimes, who recently split from world's richest man Elon Musk, walking through downtown Los Angeles in a wild costume and reading Karl Marx's anti-capitalist Communist Manifesto.

She's, like, so into communism righ",https://www.news.com.au/entertainment/celebrity-life/celebrity-photos/grimes-explains-bizarre-paparazzi-photos-after-elon-musk-split/news-story/aecc99a7bb51c8f29cb8691a2bc9fc18,03-10-2021 22:36,news
